Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,773804,-,-,-,44.85,-93.46,0,263,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.4
Year,Month,Day,Hour,Minute,GHI,Dew Point,Temperature,Wind Direction,Wind Speed,Pressure
2008,1,5,7,30,0,-4.7,-4.1000000000000005,193,2.5,974
2008,1,5,8,30,0,-4.800000000000001,-4.2,198,2.3000000000000003,974
2008,1,5,9,30,0,-5,-4.4,202,2,974
2008,1,5,10,30,0,-5.4,-4.800000000000001,199,2,973
2008,1,5,11,30,0,-5.800000000000001,-5,194,2.2,973
2008,1,5,12,30,0,-6,-5.1000000000000005,192,2.6,973
2008,1,5,13,30,0,-6.1000000000000005,-5.2,190,2.9000000000000004,973
2008,1,5,14,30,66,-6,-4.6000000000000005,185,3.3000000000000003,973
2008,1,5,15,30,202,-5.1000000000000005,-3.5,181,3.8000000000000003,973
2008,1,5,16,30,93,-3.8000000000000003,-2,180,4.2,972
2008,1,5,17,30,102,-2.2,-0.6000000000000001,178,4.2,972
2008,1,5,18,30,135,-1.1,0.4,174,3.8000000000000003,971
2008,1,5,19,30,144,-0.5,0.8,164,3.3000000000000003,971
2008,1,5,20,30,133,-0.2,0.7000000000000001,153,3.6,971
2008,1,5,21,30,78,-0.2,0.1,151,4.2,971
2008,1,5,22,30,13,-0.7000000000000001,-0.6000000000000001,153,4.7,971
2008,1,5,23,30,0,-1.2000000000000002,-1,155,5,971
2008,1,6,0,30,0,-1.7000000000000002,-1.5,158,5.4,970
2008,1,6,1,30,0,-2,-1.7000000000000002,159,5.5,970
2008,1,6,2,30,0,-2.2,-1.7000000000000002,159,5.4,969
2008,1,6,3,30,0,-2.1,-1.5,162,5.2,969
2008,1,6,4,30,0,-1.8,-1.2000000000000002,167,4.9,969
2008,1,6,5,30,0,-1.4000000000000001,-0.8,170,4.6000000000000005,968
2008,1,6,6,30,0,-0.9,-0.1,172,4.4,968
2008,1,6,7,30,0,0.1,0.5,176,4.1000000000000005,968
2008,1,6,8,30,0,0.4,0.6000000000000001,183,3.8000000000000003,968
2008,1,6,9,30,0,0.4,0.6000000000000001,190,3.6,968
2008,1,6,10,30,0,0.30000000000000004,0.5,195,3.3000000000000003,968
2008,1,6,11,30,0,0.2,0.5,199,3.1,968
2008,1,6,12,30,0,0.2,0.4,204,2.9000000000000004,969
2008,1,6,13,30,0,0.1,0.4,210,2.7,969
2008,1,6,14,30,20,0.1,0.5,219,2.5,969
2008,1,6,15,30,27,0.1,0.6000000000000001,232,2.2,970
2008,1,6,16,30,116,0.2,0.9,249,2.2,970
2008,1,6,17,30,76,0.30000000000000004,1.3,265,2.1,970
2008,1,6,18,30,256,0.4,1.6,279,1.9000000000000001,971
2008,1,6,19,30,363,0.5,1.8,288,1.8,971
2008,1,6,20,30,278,0.5,1.6,294,1.6,972
2008,1,6,21,30,59,0.4,0.9,296,1.5,973
2008,1,6,22,30,13,-0.5,0,294,1.6,974
2008,1,6,23,30,0,-1.3,-0.4,292,1.6,974
2008,1,7,0,30,0,-1.6,-1,297,1.7000000000000002,975
2008,1,7,1,30,0,-2.1,-1.7000000000000002,303,1.6,976
2008,1,7,2,30,0,-2.8000000000000003,-2.4000000000000004,308,1.4000000000000001,976
2008,1,7,3,30,0,-3.4000000000000004,-2.5,307,1.3,976
2008,1,7,4,30,0,-3.3000000000000003,-2.1,296,1.1,977
2008,1,7,5,30,0,-3.1,-1.9000000000000001,269,0.8,977
2008,1,7,6,30,0,-3.1,-1.8,232,0.7000000000000001,977
2008,1,7,7,30,0,-3.1,-1.6,200,0.6000000000000001,977
2008,1,7,8,30,0,-3.1,-1.6,158,0.6000000000000001,977
2008,1,7,9,30,0,-3,-2,105,0.7000000000000001,976
2008,1,7,10,30,0,-3.2,-2.7,81,0.9,976
2008,1,7,11,30,0,-3.5,-3,84,1.1,976
2008,1,7,12,30,0,-3.4000000000000004,-2.6,90,1.6,976
2008,1,7,13,30,0,-2.9000000000000004,-2.3000000000000003,100,2.1,976
2008,1,7,14,30,17,-2.8000000000000003,-2,107,2.4000000000000004,976
2008,1,7,15,30,29,-2.5,-1.3,110,2.4000000000000004,976
2008,1,7,16,30,25,-1.9000000000000001,-0.5,113,2.2,975
2008,1,7,17,30,79,-1.2000000000000002,0.5,113,1.9000000000000001,974
2008,1,7,18,30,233,-0.4,1.3,112,1.3,974
2008,1,7,19,30,150,0.2,1.8,120,1.1,974
2008,1,7,20,30,97,0.5,1.8,129,1,974
2008,1,7,21,30,69,0.5,0.8,131,1,975
2008,1,7,22,30,10,-0.7000000000000001,-0.6000000000000001,125,1.1,975
2008,1,7,23,30,0,-1.2000000000000002,-1.2000000000000002,120,1.2000000000000002,975
2008,1,8,0,30,0,-2.5,-2.5,136,1.3,976
2008,1,8,1,30,0,-2.1,-2.1,152,1.4000000000000001,976
2008,1,8,2,30,0,-1.3,-1.2000000000000002,168,1.5,977
2008,1,8,3,30,0,-0.8,-0.8,183,1.3,977
2008,1,8,4,30,0,-0.8,-0.7000000000000001,200,1.1,977
2008,1,8,5,30,0,-0.8,-0.7000000000000001,231,0.8,977
2008,1,8,6,30,0,-0.9,-0.7000000000000001,284,0.8,977
2008,1,8,7,30,0,-1,-0.8,329,1.5,977
2008,1,8,8,30,0,-1.3,-1,344,2.4000000000000004,976
2008,1,8,9,30,0,-1.6,-1.5,351,2.1,977
2008,1,8,10,30,0,-2.2,-2.1,357,1.2000000000000002,978
2008,1,8,11,30,0,-2.8000000000000003,-2.5,345,1.4000000000000001,979
2008,1,8,12,30,0,-3.3000000000000003,-2.8000000000000003,327,2.5,979
2008,1,8,13,30,0,-3.8000000000000003,-3.3000000000000003,319,3.6,979
2008,1,8,14,30,22,-4.7,-3.8000000000000003,314,4,980
2008,1,8,15,30,113,-5.300000000000001,-3.8000000000000003,313,4.3,980
2008,1,8,16,30,112,-5.300000000000001,-3.3000000000000003,314,4.3,979
2008,1,8,17,30,110,-4.5,-2.3000000000000003,316,4.4,978
2008,1,8,18,30,172,-3.4000000000000004,-1.4000000000000001,318,4.6000000000000005,978
2008,1,8,19,30,96,-2.8000000000000003,-1,319,4.6000000000000005,978
2008,1,8,20,30,137,-2.7,-1.1,318,4.1000000000000005,979
2008,1,8,21,30,95,-3.1,-1.9000000000000001,314,3.4000000000000004,979
2008,1,8,22,30,18,-4.2,-3.5,310,3.2,980
2008,1,8,23,30,0,-5.800000000000001,-4.3,308,3.3000000000000003,981
2008,1,9,0,30,0,-7.2,-6.5,311,3.5,982
